"A. AMERANI,19",Via Alberto Amerani,empty,Torrenova,Roma,Roma Capitale,Lazio,00133,41.8613089,12.6037076
"ACI CASTELLO, 47",Via Aci Castello,empty,Municipio Roma VI,Roma,Roma Capitale,Lazio,00132,41.8716488,12.6567214
"AGOSTINO MITELLI, 88",Via Agostino Mitelli,empty,Torre Angela,Roma,Roma Capitale,Lazio,01555,41.8831189,12.6257559
AMARETTA N. 83,Via Amaretta,empty,Torre Angela,Roma,Roma Capitale,Lazio,00132,41.8650771,12.6488739
AMICO ASPERTINI 130/D,Via Amico Aspertini,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8701176,12.6300186
ANNIBALE CALZONI 2 INT 48,Via Annibale Calzoni,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00133,41.8591506,12.6431571
"ARCHETTI DI TORRENOVA, 27",Via degli Archetti di Torrenova,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00133,41.8568976,12.641317
ARIGLIANO 11,Via Arigliano,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00044,41.8484127,12.6539664
ARZACHENA60,Via Arzachena,empty,Borghesiana,Roma,Roma Capitale,Lazio,00132,41.879043,12.6977524
AUGUSTO PAPERI 11,Via Augusto Paperi,empty,Torrenova,Roma,Roma Capitale,Lazio,00133,41.8590306,12.6164506
AVELLA 1,Via Avella,empty,Acqua Vergine,Roma,Roma Capitale,Lazio,00115,41.8933054,12.6278703
Amico Aspertini,Via Amico Aspertini,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8701176,12.6300186
BALLAO,Via Ballao,empty,Borghesiana,Roma,Roma Capitale,Lazio,00132,41.8840858,12.6966962
"BENEDETTO TORTI, 17/19",Via Benedetto Torti,empty,Torre Angela,Roma,Roma Capitale,Lazio,00132,41.864284,12.6492807
BOMPIETRO 17,Via Bompietro,empty,Borghesiana,Roma,Roma Capitale,Lazio,00132,41.8666272,12.6815677
"BOTTIDDA, 200",Via Bottidda,empty,Borghesiana,Roma,Roma Capitale,Lazio,00132,41.8790336,12.6988329
"CAMPI SALENTINA, 128",Via Campi Salentina,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00132,41.8542427,12.652959
CANICATTI' 31,Via Canicattì,empty,Borghesiana,Roma,Roma Capitale,Lazio,00077,41.8629004,12.6950062
CARAPELLE CALVISIO 6,Via Carapelle Calvisio,empty,Lunghezza,Roma,Roma Capitale,Lazio,00132,41.9175118,12.6940764
"CARLENTINI,75",Via Carlentini,empty,Torre Angela,Roma,Roma Capitale,Lazio,00132,41.8675117,12.6516106
CARPINETO SINELLO 90,Via Carpineto Sinello,empty,Lunghezza,Roma,Roma Capitale,Lazio,00011,41.9031864,12.7085072
CASCINA,Via Cascina,empty,Municipio Roma III,Roma,Roma Capitale,Lazio,00138,42.0066679,12.5246998
"CASETTA MISTICI, 26",Via Casetta Mistici,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8759695,12.6160262
CELIO CALDO 45/C,Via Celio Caldo,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8721847,12.6148136
"CERVINARIOLA,15",Via Cervinariola,empty,Torrenova,Roma,Roma Capitale,Lazio,00133,41.8614912,12.6047631
CESARE SALDINI 41,Via Cesare Saldini,empty,Lunghezza,Roma,Roma Capitale,Lazio,00132,41.9269099,12.6774856
CESSANITI 14,Via Cessaniti,empty,Borghesiana,Roma,Roma Capitale,Lazio,00132,41.875523,12.6785195
"CINO DEL DUCA, 71",Via Cino del Duca,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00133,41.8619286,12.6331993
"CONTESSA ENTELLINA, 75",Via Contessa Entellina,empty,Municipio Roma VI,Roma,Roma Capitale,Lazio,00132,41.8691656,12.6738223
DAVOLI 15,Via Davoli,empty,Borghesiana,Roma,Roma Capitale,Lazio,00132,41.873462,12.6746885
DEL CASALE DEL FINOCCHIO,Via del Casale del Finocchio,empty,Borghesiana,Roma,Roma Capitale,Lazio,00077,41.8555889,12.6953147
"DELL'ARCHEOLOGIA, 52",Via dell'Archeologia,52,Tor Bella Monaca,Roma,Roma Capitale,Lazio,00133,41.8762688,12.6306735
DI LUNGHEZZINA 65,Via di Lunghezzina,empty,Lunghezza,Roma,Roma Capitale,Lazio,00132,41.9218189,12.675906
"DI TORRE GAIA, 122",Via di Torre Gaia,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00133,41.8582375,12.6374805
"DI VALLE ALESSANDRA,38",Via di Valle Alessandra,empty,Torre Gaia,Roma,Roma Capitale,Lazio,00133,41.8600701,12.6396986
DOM. VIA L. GASTINELLI 93/RESID.,Via Luigi Gastinelli,empty,Municipio Roma VI,Roma,Roma Capitale,Lazio,00132,41.9016392,12.658396
DOMENICO BECCAFUMI N.18,Via Domenico Beccafumi,empty,Torre Angela,Roma,Roma Capitale,Lazio,00133,41.8674546,12.6245135
E. BERLINGUER 49,Via Enrico Berlinguer,empty,empty,empty,Roma Capitale,Lazio,00077,41.881308,12.7352846
EMILIO PRAGA 13,Via Emilio Praga,empty,Monte San Salvatore,empty,Roma Capitale,Lazio,00013,42.036883,12.6337384
